gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0033
G0001,G0039
G0001,G0044
G0001,G0047
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0011
G0002,G0016
G0002,G0022
G0003,G0004
G0003,G0005
G0003,G0015
G0003,G0022
G0003,G0043
G0003,G0049
G0004,G0008
G0004,G0016
G0004,G0041
G0004,G0050
G0005,G0015
G0005,G0018
G0005,G0025
G0005,G0032
G0005,G0033
G0005,G0039
G0005,G0046
G0006,G0019
G0006,G0036
G0006,G0042
G0006,G0047
G0006,G0049
G0007,G0013
G0007,G0015
G0007,G0017
G0007,G0022
G0007,G0041
G0007,G0044
G0008,G0016
G0008,G0018
G0008,G0022
G0008,G0025
G0008,G0027
G0008,G0047
G0009,G0010
G0009,G0015
G0009,G0016
G0009,G0030
G0009,G0043
G0009,G0050
G0010,G0012
G0010,G0013
G0010,G0017
G0010,G0038
G0010,G0041
G0011,G0016
G0011,G0017
G0011,G0024
G0011,G0030
G0011,G0034
G0011,G0035
G0011,G0041
G0011,G0044
G0012,G0033
G0013,G0037
G0013,G0046
G0014,G0026
G0014,G0028
G0014,G0035
G0014,G0037
G0014,G0039
G0014,G0042
G0014,G0043
G0015,G0028
G0015,G0038
G0015,G0044
G0015,G0050
G0016,G0018
G0016,G0037
G0017,G0019
G0017,G0035
G0017,G0036
G0017,G0047
G0017,G0048
G0018,G0021
G0018,G0025
G0018,G0037
G0018,G0041
G0018,G0045
G0018,G0049
G0019,G0028
G0019,G0029
G0019,G0041
G0020,G0024
G0020,G0026
G0020,G0041
G0021,G0023
G0021,G0026
G0021,G0032
G0021,G0046
G0021,G0050
G0022,G0036
G0022,G0040
G0023,G0024
G0023,G0045
G0023,G0046
G0024,G0026
G0024,G0029
G0024,G0040
G0024,G0049
G0025,G0030
G0025,G0039
G0025,G0043
G0026,G0031
G0026,G0032
G0028,G0032
G0028,G0035
G0028,G0038
G0028,G0039
G0029,G0034
G0030,G0034
G0030,G0035
G0030,G0041
G0030,G0042
G0031,G0036
G0032,G0033
G0032,G0043
G0033,G0039
G0033,G0049
G0034,G0039
G0034,G0050
G0035,G0044
G0035,G0047
G0035,G0049
G0036,G0038
G0036,G0045
G0036,G0048
G0038,G0048
G0039,G0047
G0042,G0043
G0042,G0044
G0042,G0050
G0045,G0047
G0047,G0050
