gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0033
G0001,G0157
G0001,G0174
G0001,G0224
G0001,G0337
G0001,G0427
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0011
G0002,G0016
G0002,G0142
G0002,G0145
G0002,G0210
G0002,G0227
G0002,G0300
G0002,G0417
G0003,G0004
G0003,G0005
G0003,G0049
G0003,G0147
G0003,G0353
G0004,G0029
G0004,G0062
G0004,G0180
G0004,G0483
G0005,G0100
G0005,G0178
G0005,G0290
G0005,G0342
G0005,G0361
G0005,G0385
G0005,G0430
G0006,G0042
G0006,G0055
G0006,G0067
G0006,G0221
G0006,G0285
G0007,G0013
G0007,G0017
G0007,G0022
G0007,G0041
G0007,G0044
G0007,G0435
G0007,G0447
G0008,G0018
G0008,G0027
G0008,G0053
G0008,G0098
G0008,G0136
G0008,G0184
G0008,G0283
G0008,G0288
G0008,G0363
G0008,G0370
G0009,G0010
G0009,G0030
G0009,G0048
G0009,G0066
G0009,G0104
G0009,G0166
G0009,G0235
G0010,G0012
G0010,G0038
G0010,G0082
G0010,G0186
G0010,G0224
G0010,G0241
G0011,G0034
G0011,G0070
G0011,G0208
G0011,G0319
G0011,G0357
G0011,G0487
G0011,G0498
G0012,G0152
G0013,G0024
G0013,G0072
G0013,G0135
G0013,G0318
G0013,G0338
G0013,G0473
G0014,G0026
G0014,G0039
G0014,G0068
G0014,G0129
G0014,G0274
G0014,G0286
G0014,G0340
G0014,G0476
G0015,G0024
G0015,G0028
G0015,G0060
G0015,G0093
G0015,G0173
G0015,G0183
G0015,G0200
G0015,G0499
G0016,G0231
G0016,G0387
G0016,G0494
G0016,G0498
G0017,G0019
G0017,G0048
G0017,G0140
G0017,G0144
G0017,G0150
G0017,G0219
G0018,G0021
G0018,G0025
G0018,G0037
G0018,G0117
G0018,G0189
G0018,G0233
G0018,G0297
G0019,G0029
G0019,G0057
G0019,G0115
G0019,G0228
G0019,G0238
G0019,G0278
G0019,G0282
G0019,G0436
G0019,G0494
G0020,G0136
G0020,G0232
G0020,G0339
G0020,G0485
G0020,G0494
G0021,G0023
G0021,G0077
G0021,G0088
G0021,G0089
