gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0033
G0001,G0078
G0001,G0086
G0001,G0098
G0001,G0105
G0001,G0134
G0001,G0157
G0001,G0174
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0011
G0002,G0016
G0002,G0177
G0002,G0227
G0002,G0242
G0003,G0004
G0003,G0005
G0003,G0019
G0003,G0049
G0003,G0143
G0003,G0144
G0003,G0147
G0003,G0171
G0004,G0182
G0004,G0215
G0004,G0218
G0004,G0224
G0005,G0024
G0005,G0100
G0005,G0121
G0005,G0178
G0006,G0042
G0006,G0055
G0006,G0067
G0006,G0160
G0006,G0179
G0006,G0221
G0007,G0012
G0007,G0013
G0007,G0017
G0007,G0022
G0007,G0041
G0007,G0044
G0007,G0058
G0007,G0106
G0007,G0137
G0007,G0170
G0007,G0238
G0008,G0018
G0008,G0027
G0008,G0053
G0008,G0087
G0008,G0098
G0008,G0100
G0008,G0194
G0008,G0241
G0009,G0010
G0009,G0030
G0009,G0066
G0009,G0075
G0009,G0104
G0009,G0235
G0010,G0012
G0010,G0028
G0010,G0038
G0010,G0082
G0010,G0214
G0010,G0220
G0011,G0034
G0011,G0070
G0011,G0079
G0011,G0089
G0011,G0153
G0011,G0167
G0011,G0231
G0012,G0066
G0012,G0071
G0013,G0015
G0013,G0026
G0013,G0047
G0013,G0072
G0013,G0119
G0013,G0135
G0014,G0026
G0014,G0039
G0014,G0065
G0014,G0187
G0014,G0217
G0014,G0244
G0014,G0250
G0015,G0028
G0015,G0041
G0015,G0183
G0015,G0248
G0016,G0043
G0016,G0104
G0016,G0107
G0016,G0139
G0016,G0159
G0016,G0231
G0017,G0019
G0017,G0048
G0017,G0107
G0017,G0140
G0017,G0211
G0017,G0219
G0018,G0021
G0018,G0025
G0018,G0037
G0018,G0048
G0018,G0117
G0018,G0130
G0018,G0153
G0018,G0167
G0018,G0189
G0018,G0226
G0018,G0233
G0018,G0243
G0018,G0248
G0019,G0029
G0019,G0057
G0019,G0115
G0019,G0117
G0019,G0138
G0019,G0148
G0019,G0197
G0019,G0228
G0019,G0238
G0020,G0029
G0020,G0041
G0020,G0114
G0020,G0152
