kode_gedung,nama_gedung
G0001,Gedung 0001
G0002,Gedung 0002
G0003,Gedung 0003
G0004,Gedung 0004
G0005,Gedung 0005
G0006,Gedung 0006
G0007,Gedung 0007
G0008,Gedung 0008
G0009,Gedung 0009
G0010,Gedung 0010
G0011,Gedung 0011
G0012,Gedung 0012
G0013,Gedung 0013
G0014,Gedung 0014
G0015,Gedung 0015
G0016,Gedung 0016
G0017,Gedung 0017
G0018,Gedung 0018
G0019,Gedung 0019
G0020,Gedung 0020
G0021,Gedung 0021
G0022,Gedung 0022
G0023,Gedung 0023
G0024,Gedung 0024
G0025,Gedung 0025
G0026,Gedung 0026
G0027,Gedung 0027
G0028,Gedung 0028
G0029,Gedung 0029
G0030,Gedung 0030
G0031,Gedung 0031
G0032,Gedung 0032
G0033,Gedung 0033
G0034,Gedung 0034
G0035,Gedung 0035
G0036,Gedung 0036
G0037,Gedung 0037
G0038,Gedung 0038
G0039,Gedung 0039
G0040,Gedung 0040
G0041,Gedung 0041
G0042,Gedung 0042
G0043,Gedung 0043
G0044,Gedung 0044
G0045,Gedung 0045
G0046,Gedung 0046
G0047,Gedung 0047
G0048,Gedung 0048
G0049,Gedung 0049
G0050,Gedung 0050
G0051,Gedung 0051
G0052,Gedung 0052
G0053,Gedung 0053
G0054,Gedung 0054
G0055,Gedung 0055
G0056,Gedung 0056
G0057,Gedung 0057
G0058,Gedung 0058
G0059,Gedung 0059
G0060,Gedung 0060
G0061,Gedung 0061
G0062,Gedung 0062
G0063,Gedung 0063
G0064,Gedung 0064
G0065,Gedung 0065
G0066,Gedung 0066
G0067,Gedung 0067
G0068,Gedung 0068
G0069,Gedung 0069
G0070,Gedung 0070
G0071,Gedung 0071
G0072,Gedung 0072
G0073,Gedung 0073
G0074,Gedung 0074
G0075,Gedung 0075
G0076,Gedung 0076
G0077,Gedung 0077
G0078,Gedung 0078
G0079,Gedung 0079
G0080,Gedung 0080
G0081,Gedung 0081
G0082,Gedung 0082
G0083,Gedung 0083
G0084,Gedung 0084
G0085,Gedung 0085
G0086,Gedung 0086
G0087,Gedung 0087
G0088,Gedung 0088
G0089,Gedung 0089
G0090,Gedung 0090
G0091,Gedung 0091
G0092,Gedung 0092
G0093,Gedung 0093
G0094,Gedung 0094
G0095,Gedung 0095
G0096,Gedung 0096
G0097,Gedung 0097
G0098,Gedung 0098
G0099,Gedung 0099
G0100,Gedung 0100
