gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0033
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0011
G0002,G0016
G0003,G0004
G0003,G0005
G0003,G0043
G0003,G0049
G0005,G0046
G0006,G0019
G0006,G0036
G0006,G0042
G0007,G0013
G0007,G0015
G0007,G0017
G0007,G0022
G0007,G0041
G0007,G0044
G0008,G0018
G0008,G0025
G0008,G0027
G0009,G0010
G0009,G0030
G0010,G0012
G0010,G0038
G0011,G0024
G0011,G0034
G0013,G0037
G0014,G0026
G0014,G0039
G0015,G0028
G0015,G0050
G0017,G0019
G0017,G0048
G0018,G0021
G0018,G0025
G0018,G0037
G0019,G0029
G0019,G0041
G0021,G0023
G0022,G0036
G0022,G0040
G0023,G0024
G0023,G0045
G0023,G0046
G0024,G0040
G0025,G0043
G0026,G0031
G0028,G0032
G0028,G0035
G0030,G0035
G0030,G0041
G0039,G0047
G0047,G0050
