gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0033
G0001,G0157
G0001,G0174
G0001,G0224
G0001,G0427
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0011
G0002,G0016
G0002,G0227
G0002,G0300
G0002,G0417
G0003,G0004
G0003,G0005
G0003,G0049
G0003,G0147
G0003,G0353
G0005,G0100
G0005,G0178
G0005,G0361
G0005,G0385
G0005,G0430
G0006,G0042
G0006,G0055
G0006,G0067
G0006,G0221
G0007,G0013
G0007,G0017
G0007,G0022
G0007,G0041
G0007,G0044
G0008,G0018
G0008,G0027
G0008,G0053
G0008,G0098
G0008,G0288
G0009,G0010
G0009,G0030
G0009,G0066
G0009,G0104
G0009,G0235
G0010,G0012
G0010,G0038
G0010,G0082
G0011,G0034
G0011,G0070
G0013,G0024
G0013,G0072
G0013,G0135
G0013,G0338
G0013,G0473
G0014,G0026
G0014,G0039
G0015,G0028
G0015,G0060
G0015,G0183
G0016,G0231
G0017,G0019
G0017,G0048
G0017,G0140
G0017,G0219
G0018,G0021
G0018,G0025
G0018,G0037
G0018,G0117
G0018,G0189
G0018,G0233
G0019,G0029
G0019,G0057
G0019,G0115
G0019,G0228
G0019,G0238
G0019,G0436
G0020,G0136
G0020,G0494
G0021,G0023
G0021,G0077
G0021,G0088
G0021,G0186
G0021,G0338
G0021,G0449
G0022,G0036
G0022,G0040
G0022,G0085
G0022,G0187
G0022,G0444
G0023,G0024
G0023,G0045
G0023,G0046
G0023,G0363
G0023,G0416
G0024,G0063
G0024,G0134
G0025,G0043
G0025,G0054
G0025,G0065
G0026,G0031
G0026,G0238
G0026,G0286
G0026,G0318
G0027,G0080
G0027,G0411
G0028,G0032
G0028,G0035
G0028,G0105
G0028,G0109
G0028,G0162
G0028,G0266
G0029,G0095
G0029,G0136
G0029,G0152
G0029,G0179
G0030,G0051
G0030,G0068
G0030,G0071
G0030,G0099
G0030,G0148
G0030,G0312
G0030,G0317
G0030,G0324
G0031,G0216
G0031,G0297
G0032,G0087
G0032,G0118
G0032,G0268
G0032,G0315
G0033,G0191
G0033,G0192
G0034,G0116
G0034,G0122
G0034,G0246
G0035,G0052
