gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0033
G0001,G0098
G0001,G0157
G0001,G0174
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0011
G0002,G0016
G0002,G0227
G0003,G0004
G0003,G0005
G0003,G0049
G0003,G0147
G0004,G0215
G0005,G0100
G0005,G0178
G0006,G0042
G0006,G0055
G0006,G0067
G0006,G0221
G0007,G0013
G0007,G0017
G0007,G0022
G0007,G0041
G0007,G0044
G0008,G0018
G0008,G0027
G0008,G0053
G0008,G0098
G0009,G0010
G0009,G0030
G0009,G0066
G0009,G0104
G0009,G0235
G0010,G0012
G0010,G0038
G0010,G0082
G0011,G0034
G0011,G0070
G0013,G0015
G0013,G0026
G0013,G0072
G0013,G0135
G0014,G0026
G0014,G0039
G0014,G0187
G0015,G0028
G0015,G0041
G0015,G0183
G0015,G0248
G0016,G0043
G0016,G0104
G0016,G0139
G0016,G0231
G0017,G0019
G0017,G0048
G0017,G0140
G0017,G0219
G0018,G0021
G0018,G0025
G0018,G0037
G0018,G0048
G0018,G0117
G0018,G0153
G0018,G0189
G0018,G0233
G0019,G0029
G0019,G0057
G0019,G0115
G0019,G0228
G0019,G0238
G0020,G0114
G0021,G0023
G0021,G0077
G0021,G0088
G0021,G0186
G0021,G0218
G0022,G0036
G0022,G0040
G0022,G0085
G0022,G0187
G0023,G0024
G0023,G0045
G0023,G0046
G0024,G0063
G0024,G0134
G0024,G0249
G0025,G0043
G0025,G0054
G0025,G0065
G0025,G0169
G0026,G0031
G0026,G0166
G0027,G0080
G0028,G0032
G0028,G0035
G0028,G0064
G0028,G0105
G0028,G0109
G0028,G0162
G0029,G0095
G0029,G0136
G0029,G0152
G0029,G0179
G0030,G0051
G0030,G0068
G0030,G0071
G0030,G0099
G0030,G0148
G0031,G0216
G0031,G0242
G0032,G0087
G0032,G0118
G0033,G0191
G0033,G0192
G0034,G0116
G0034,G0122
G0034,G0246
G0035,G0052
G0035,G0081
G0035,G0091
G0035,G0103
G0036,G0056
G0036,G0074
G0036,G0109
G0036,G0131
G0037,G0064
G0038,G0069
G0039,G0047
G0040,G0049
G0040,G0060
G0040,G0137
G0040,G0169
G0041,G0059
G0041,G0101
G0041,G0108
G0041,G0138
G0041,G0155
G0042,G0097
G0042,G0171
G0043,G0105
G0043,G0196
G0046,G0079
G0046,G0160
G0047,G0050
G0047,G0072
G0047,G0076
G0048,G0078
G0049,G0050
G0049,G0073
G0049,G0090
G0049,G0105
G0051,G0112
G0051,G0168
G0052,G0102
G0052,G0128
G0052,G0206
G0054,G0058
G0055,G0125
G0055,G0201
G0055,G0222
G0055,G0244
G0056,G0062
G0056,G0076
G0057,G0061
G0057,G0130
G0057,G0226
G0058,G0218
G0059,G0075
G0059,G0114
G0059,G0224
G0059,G0232
G0060,G0089
G0061,G0104
G0061,G0218
G0061,G0240
G0062,G0182
G0062,G0184
G0063,G0201
G0064,G0111
G0064,G0119
G0064,G0217
G0065,G0145
G0068,G0100
G0068,G0158
G0068,G0197
G0069,G0086
G0069,G0121
G0069,G0150
G0072,G0094
G0072,G0120
G0072,G0241
G0073,G0106
G0074,G0109
G0075,G0124
G0075,G0127
G0076,G0153
G0077,G0164
G0078,G0083
G0079,G0181
G0080,G0208
G0081,G0192
G0082,G0084
G0082,G0092
G0083,G0113
G0083,G0176
G0084,G0110
G0085,G0237
G0087,G0187
G0087,G0220
G0088,G0096
G0088,G0151
G0089,G0093
G0091,G0111
G0092,G0107
G0093,G0129
G0093,G0180
G0096,G0119
G0096,G0123
G0096,G0170
G0096,G0212
G0098,G0142
G0099,G0141
G0103,G0209
G0103,G0232
G0106,G0109
G0109,G0139
G0109,G0200
G0112,G0154
G0113,G0213
G0115,G0126
G0115,G0138
G0116,G0215
G0117,G0156
G0117,G0201
G0120,G0143
G0120,G0222
G0122,G0148
G0122,G0194
G0122,G0207
G0123,G0150
G0124,G0125
G0125,G0184
G0125,G0188
G0125,G0243
G0126,G0177
G0127,G0133
G0129,G0159
G0129,G0236
G0130,G0161
G0130,G0166
G0131,G0132
G0131,G0246
G0132,G0239
G0133,G0214
G0136,G0144
G0136,G0173
G0136,G0198
G0136,G0219
G0137,G0190
G0138,G0149
G0139,G0167
G0139,G0172
G0139,G0202
G0139,G0245
G0141,G0195
G0141,G0220
G0142,G0146
G0142,G0223
G0143,G0170
G0146,G0185
G0146,G0228
G0147,G0250
G0149,G0189
G0151,G0222
G0151,G0225
G0154,G0175
G0156,G0167
G0156,G0199
G0161,G0163
G0162,G0230
G0164,G0165
G0167,G0211
G0168,G0173
G0169,G0193
G0172,G0210
G0172,G0242
G0173,G0221
G0177,G0205
G0179,G0246
G0182,G0229
G0183,G0207
G0186,G0247
G0187,G0204
G0188,G0201
G0193,G0238
G0194,G0203
G0201,G0238
G0205,G0221
G0207,G0221
G0221,G0236
G0224,G0237
G0226,G0249
G0232,G0234
G0240,G0248
